Tipo Titulo;Vencimento do Titulo;Data Resgate;PU;Quantidade;Valor
Tesouro IPCA+ com Juros Semestrais;15/05/2045;17/11/2025;134,862488;220589,16;29749202,95
Tesouro IPCA+ com Juros Semestrais;15/08/2060;15/08/2025;134,245455;130968,21;17581886,94
Tesouro IPCA+ com Juros Semestrais;15/08/2030;15/08/2025;134,245455;284478,87;38189995,34
Tesouro IPCA+ com Juros Semestrais;15/08/2050;15/08/2025;134,245455;247721,49;33255484,14
Tesouro IPCA+ com Juros Semestrais;15/08/2040;15/08/2025;134,245455;397658,53;53383850,29
Tesouro IPCA+ com Juros Semestrais;15/08/2032;15/08/2025;134,245455;348378,71;46768258,43
Tesouro IPCA+ com Juros Semestrais;15/08/2026;15/08/2025;134,245455;306520,81;41149025,60
Tesouro IGPM+ com Juros Semestrais;01/12/2006;01/12/2005;53,903964;127,20;6856,58
Tesouro IGPM+ com Juros Semestrais;01/12/2005;01/12/2005;53,903964;40179,80;2165850,50
Tesouro IGPM+ com Juros Semestrais;01/12/2006;01/06/2005;54,429436;145,40;7914,04
Tesouro IGPM+ com Juros Semestrais;01/07/2005;01/07/2005;54,188420;1809,00;98026,85
Tesouro IGPM+ com Juros Semestrais;01/12/2006;01/06/2006;54,250202;118,80;6444,92
Tesouro IPCA+ com Juros Semestrais;15/08/2006;15/08/2006;47,225526;11968,80;565232,88
Tesouro IPCA+ com Juros Semestrais;15/05/2007;15/05/2007;48,602773;13546,40;658392,60
Tesouro IGPM+ com Juros Semestrais;01/12/2006;01/12/2006;55,788486;106,20;5924,74
Tesouro Prefixado com Juros Semestrais;01/01/2008;02/01/2008;48,808850;35021,40;1709354,26
Tesouro IPCA+ com Juros Semestrais;15/08/2008;15/08/2008;52,111987;26296,60;1370368,08
Tesouro IPCA+ com Juros Semestrais;15/05/2017;15/05/2008;51,053144;5486,60;280108,18
Tesouro IGPM+ com Juros Semestrais;01/04/2008;01/04/2008;61,739058;8009,20;494480,47
Tesouro IPCA+ com Juros Semestrais;15/05/2009;15/05/2009;53,878311;31708,40;1708395,03
Tesouro Prefixado com Juros Semestrais;01/01/2010;04/01/2010;48,808850;44490,40;2171525,26
Tesouro Prefixado com Juros Semestrais;01/01/2011;03/01/2011;48,808850;29898,40;1459306,52
Tesouro IPCA+ com Juros Semestrais;15/05/2011;16/05/2011;60,404577;65568,40;3960631,46
Tesouro IGPM+ com Juros Semestrais;01/03/2011;01/03/2011;73,752184;12631,00;931563,84
Tesouro IPCA+ com Juros Semestrais;15/08/2010;16/08/2010;56,962011;91410,20;5206908,82
Tesouro Prefixado com Juros Semestrais;01/07/2010;01/07/2010;48,808850;38827,80;1895140,27
Tesouro IPCA+ com Juros Semestrais;15/05/2017;15/05/2012;63,487727;94021,40;5969204,97
Tesouro Prefixado com Juros Semestrais;01/01/2012;02/01/2012;48,808850;38249,80;1866928,75
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/04/2013;82,782863;7469,93;618382,19
Tesouro IPCA+ com Juros Semestrais;15/05/2045;15/05/2013;67,610311;75643,14;5114256,22
Tesouro IPCA+ com Juros Semestrais;15/05/2035;15/05/2013;67,610311;98424,85;6654534,71
Tesouro IPCA+ com Juros Semestrais;15/05/2013;15/05/2013;67,610311;10287,96;695572,17
Tesouro IPCA+ com Juros Semestrais;15/05/2017;15/05/2013;67,610311;87068,10;5886701,32
Tesouro IPCA+ com Juros Semestrais;15/05/2015;15/05/2013;67,610311;313498,39;21195723,65
Tesouro Prefixado com Juros Semestrais;01/01/2013;02/01/2013;48,808850;14512,24;708325,74
Tesouro Prefixado com Juros Semestrais;01/01/2023;02/01/2013;48,808850;132261,91;6455551,73
Tesouro IPCA+ com Juros Semestrais;15/08/2050;15/02/2013;66,526751;32427,65;2157306,19
Tesouro IPCA+ com Juros Semestrais;15/08/2020;15/02/2013;66,526751;219014,61;14570330,43
Tesouro IPCA+ com Juros Semestrais;15/08/2024;15/02/2013;66,526751;67102,67;4464122,61
Tesouro IPCA+ com Juros Semestrais;15/08/2012;15/08/2012;64,041409;149482,08;9573043,02
Tesouro IPCA+ com Juros Semestrais;15/08/2024;15/08/2012;64,041409;70805,93;4534511,53
Tesouro Prefixado com Juros Semestrais;01/01/2014;02/01/2013;48,808850;120635,79;5888094,18
Tesouro Prefixado com Juros Semestrais;01/01/2021;02/01/2013;48,808850;275962,44;13469409,34
Tesouro Prefixado com Juros Semestrais;01/01/2017;02/01/2013;48,808850;337606,23;16478171,83
Tesouro IPCA+ com Juros Semestrais;15/08/2050;15/08/2012;64,041409;9528,28;610204,47
Tesouro IPCA+ com Juros Semestrais;15/08/2020;15/08/2012;64,041409;151879,77;9726594,46
Tesouro IGPM+ com Juros Semestrais;01/01/2031;02/01/2013;161,898048;11237,00;1819248,36
Tesouro IGPM+ com Juros Semestrais;01/07/2017;02/01/2013;82,095213;7608,88;624652,62
Tesouro Prefixado com Juros Semestrais;01/01/2014;02/07/2012;48,808850;126405,30;6169697,32
Tesouro IPCA+ com Juros Semestrais;15/05/2035;16/11/2012;65,052097;81406,42;5295658,33
Tesouro IPCA+ com Juros Semestrais;15/05/2015;16/11/2012;65,052097;334202,52;21740574,75
Tesouro IPCA+ com Juros Semestrais;15/05/2017;16/11/2012;65,052097;92784,47;6035824,34
Tesouro IPCA+ com Juros Semestrais;15/05/2013;16/11/2012;65,052097;11106,00;722468,59
Tesouro IPCA+ com Juros Semestrais;15/05/2045;16/11/2012;65,052097;84188,70;5476651,48
Tesouro Prefixado com Juros Semestrais;01/01/2021;02/01/2014;48,808850;214183,93;10454071,31
Tesouro Prefixado com Juros Semestrais;01/01/2017;02/01/2014;48,808850;291142,52;14210331,59
Tesouro Prefixado com Juros Semestrais;01/01/2023;02/01/2014;48,808850;288983,00;14104927,90
Tesouro IPCA+ com Juros Semestrais;15/05/2017;18/11/2013;68,849504;78666,99;5416183,24
Tesouro IPCA+ com Juros Semestrais;15/05/2045;18/11/2013;68,849504;70648,20;4864093,53
Tesouro IPCA+ com Juros Semestrais;15/05/2035;18/11/2013;68,849504;109691,11;7552178,52
Tesouro IPCA+ com Juros Semestrais;15/05/2015;18/11/2013;68,849504;294780,71;20295505,67
Tesouro IGPM+ com Juros Semestrais;01/07/2017;02/01/2014;86,619160;7162,48;620408,00
Tesouro IGPM+ com Juros Semestrais;01/01/2031;02/01/2014;170,819619;10806,20;1845910,97
Tesouro Prefixado com Juros Semestrais;01/01/2014;02/01/2014;48,808850;104897,21;5119912,19
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/10/2013;85,125283;7322,93;623366,48
Tesouro Prefixado com Juros Semestrais;01/01/2023;01/07/2013;48,808850;208146,11;10159372,26
Tesouro IPCA+ com Juros Semestrais;15/08/2024;15/08/2013;68,057248;61165,32;4162743,35
Tesouro IPCA+ com Juros Semestrais;15/08/2050;15/08/2013;68,057248;56780,85;3864348,39
Tesouro IPCA+ com Juros Semestrais;15/08/2020;15/08/2013;68,057248;245247,83;16690892,39
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/07/2013;164,722250;11078,00;1824793,08
Tesouro Prefixado com Juros Semestrais;01/01/2017;01/07/2013;48,808850;311227,86;15190673,93
Tesouro IGPM+ com Juros Semestrais;01/07/2017;01/07/2013;83,527308;7428,98;620522,70
